sequence,batch_code,batch_no,sheet_code,sheet_no,sheet_position,sheet_slot,character_id,filename_png,name,epithet,role,role_display,anime_type,anime_type_display,visible_genre_1,visible_genre_1_display,visible_genre_2,visible_genre_2_display,hidden_genre,hidden_genre_display,overt_hook,hidden_background_hint,coverage_edges_this_member,concept_brief
265,B03,3,S27,27,R1C5,5,g30_pet_shonen_005,g30_pet_shonen_005.png,Clinksnap,The Underworld Dune Portal Familiar,pet,Pet,shonen,Shonen,crime,Crime,arabia,Arabia,isekai,Isekai,A battle-ready pet design that overtly sells Crime x Arabia.,"summoning circle, portal shards, floating UI sigils",arabia+crime | arabia+isekai | crime+isekai,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Resolute mini beast design blending detective, gangster, police or heist aesthetics with urban grit with desert-sorcery, caravan, palace or djinn-adventure styling. Subtle background hint only: summoning circle, portal shards, floating UI sigils. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
266,B03,3,S27,27,R2C1,6,g30_pet_shonen_006,g30_pet_shonen_006.png,Djinnisnap,The Titan Abyss Portal Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,isekai,Isekai,A driven pet design that overtly sells Kaiju x Cosmic Horror.,"summoning circle, portal shards, floating UI sigils",cosmic_horror+isekai | cosmic_horror+kaiju | isekai+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Kinetic non-human companion design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: summoning circle, portal shards, floating UI sigils. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
267,B03,3,S27,27,R2C2,7,g30_pet_shonen_007,g30_pet_shonen_007.png,Embersnap,The Beast Underworld Hearth Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,slice,Slice of Life,A fearless pet design that overtly sells Monster Taming x Crime.,"warm domestic details, school corridor, café corner, laundry line",crime+monster_taming | crime+slice | monster_taming+slice,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Battle-ready familiar design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: warm domestic details, school corridor, café corner, laundry line. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
268,B03,3,S27,27,R2C3,8,g30_pet_shonen_008,g30_pet_shonen_008.png,Fangsnap,The Titan Abyss Hearth Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,slice,Slice of Life,A scrappy pet design that overtly sells Kaiju x Cosmic Horror.,"warm domestic details, school corridor, café corner, laundry line",cosmic_horror+kaiju | cosmic_horror+slice | kaiju+slice,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Driven mascot creature design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: warm domestic details, school corridor, café corner, laundry line. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
269,B03,3,S27,27,R2C4,9,g30_pet_shonen_009,g30_pet_shonen_009.png,Glimsnap,The Beast Underworld Terror Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,horror,Horror,A heroic pet design that overtly sells Monster Taming x Crime.,"medical curtains, abandoned halls, claw shadows, eerie green light",crime+horror | crime+monster_taming | horror+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Fearless tiny guardian design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: medical curtains, abandoned halls, claw shadows, eerie green light. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
270,B03,3,S27,27,R2C5,10,g30_pet_shonen_010,g30_pet_shonen_010.png,Kikisnap,The Titan Abyss Terror Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,horror,Horror,A hot-blooded pet design that overtly sells Kaiju x Cosmic Horror.,"medical curtains, abandoned halls, claw shadows, eerie green light",cosmic_horror+horror | cosmic_horror+kaiju | horror+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Scrappy mini beast design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: medical curtains, abandoned halls, claw shadows, eerie green light. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
271,B03,3,S28,28,R1C1,1,g30_pet_shonen_011,g30_pet_shonen_011.png,Lumensnap,The Beast Underworld Heart Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,romance,Romance,A resolute pet design that overtly sells Monster Taming x Crime.,"petals, soft lights, letters, balcony rails, heart motifs",crime+monster_taming | crime+romance | monster_taming+romance,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Heroic non-human companion design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: petals, soft lights, letters, balcony rails, heart motifs. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
272,B03,3,S28,28,R1C2,2,g30_pet_shonen_012,g30_pet_shonen_012.png,Mirisnap,The Titan Abyss Heart Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,romance,Romance,A kinetic pet design that overtly sells Kaiju x Cosmic Horror.,"petals, soft lights, letters, balcony rails, heart motifs",cosmic_horror+kaiju | cosmic_horror+romance | kaiju+romance,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Hot-blooded familiar design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: petals, soft lights, letters, balcony rails, heart motifs. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
273,B03,3,S28,28,R1C3,3,g30_pet_shonen_013,g30_pet_shonen_013.png,Misosnap,The Beast Underworld Arena Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,sports,Sports,A battle-ready pet design that overtly sells Monster Taming x Crime.,"stadium floodlights, lane markings, scoreboards, locker-room cues",crime+monster_taming | crime+sports | monster_taming+sports,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Resolute mascot creature design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: stadium floodlights, lane markings, scoreboards, locker-room cues. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
274,B03,3,S28,28,R1C4,4,g30_pet_shonen_014,g30_pet_shonen_014.png,Mokusnap,The Titan Abyss Arena Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,sports,Sports,A driven pet design that overtly sells Kaiju x Cosmic Horror.,"stadium floodlights, lane markings, scoreboards, locker-room cues",cosmic_horror+kaiju | cosmic_horror+sports | kaiju+sports,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Kinetic tiny guardian design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stadium floodlights, lane markings, scoreboards, locker-room cues. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
275,B03,3,S28,28,R1C5,5,g30_pet_shonen_015,g30_pet_shonen_015.png,Nibsnap,The Beast Underworld Neon Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cyber,Cyber,A fearless pet design that overtly sells Monster Taming x Crime.,"neon grids, holograms, circuit traces, city rain reflections",crime+cyber | crime+monster_taming | cyber+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Battle-ready mini beast design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
276,B03,3,S28,28,R2C1,6,g30_pet_shonen_016,g30_pet_shonen_016.png,Norisnap,The Titan Abyss Neon Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cyber,Cyber,A scrappy pet design that overtly sells Kaiju x Cosmic Horror.,"neon grids, holograms, circuit traces, city rain reflections",cosmic_horror+cyber | cosmic_horror+kaiju | cyber+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Driven non-human companion design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
277,B03,3,S28,28,R2C2,7,g30_pet_shonen_017,g30_pet_shonen_017.png,Orbitsnap,The Beast Underworld Realm Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,fantasy,Fantasy,A heroic pet design that overtly sells Monster Taming x Crime.,"runes, relics, banners, ancient stonework, enchanted forests",crime+fantasy | crime+monster_taming | fantasy+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Fearless familiar design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
278,B03,3,S28,28,R2C3,8,g30_pet_shonen_018,g30_pet_shonen_018.png,Pebblesnap,The Titan Abyss Realm Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,fantasy,Fantasy,A hot-blooded pet design that overtly sells Kaiju x Cosmic Horror.,"runes, relics, banners, ancient stonework, enchanted forests",cosmic_horror+fantasy | cosmic_horror+kaiju | fantasy+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Scrappy mascot creature design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
279,B03,3,S28,28,R2C4,9,g30_pet_shonen_019,g30_pet_shonen_019.png,Pipsnap,The Beast Underworld Stage Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,idol,Idol,A resolute pet design that overtly sells Monster Taming x Crime.,"stage lights, star confetti, speaker stacks, glowsticks",crime+idol | crime+monster_taming | idol+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Heroic tiny guardian design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
280,B03,3,S28,28,R2C5,10,g30_pet_shonen_020,g30_pet_shonen_020.png,Pucksnap,The Titan Abyss Stage Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,idol,Idol,A kinetic pet design that overtly sells Kaiju x Cosmic Horror.,"stage lights, star confetti, speaker stacks, glowsticks",cosmic_horror+idol | cosmic_horror+kaiju | idol+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Hot-blooded mini beast design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
281,B03,3,S29,29,R1C1,1,g30_pet_shonen_021,g30_pet_shonen_021.png,Riffsnap,The Beast Underworld Cipher Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,mystery,Mystery,A battle-ready pet design that overtly sells Monster Taming x Crime.,"case boards, magnifying glass reflections, foggy windows, clues",crime+monster_taming | crime+mystery | monster_taming+mystery,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Resolute non-human companion design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
282,B03,3,S29,29,R1C2,2,g30_pet_shonen_022,g30_pet_shonen_022.png,Runesnap,The Titan Abyss Cipher Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,mystery,Mystery,A driven pet design that overtly sells Kaiju x Cosmic Horror.,"case boards, magnifying glass reflections, foggy windows, clues",cosmic_horror+kaiju | cosmic_horror+mystery | kaiju+mystery,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Kinetic familiar design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
283,B03,3,S29,29,R1C3,3,g30_pet_shonen_023,g30_pet_shonen_023.png,Sablesnap,The Beast Underworld Mirth Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,comedy,Comedy,A fearless pet design that overtly sells Monster Taming x Crime.,"playful props, bright signage, exaggerated set pieces",comedy+crime | comedy+monster_taming | crime+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Battle-ready mascot creature design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
284,B03,3,S29,29,R1C4,4,g30_pet_shonen_024,g30_pet_shonen_024.png,Skiffsnap,The Titan Abyss Mirth Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,comedy,Comedy,A scrappy pet design that overtly sells Kaiju x Cosmic Horror.,"playful props, bright signage, exaggerated set pieces",comedy+cosmic_horror | comedy+kaiju | cosmic_horror+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Driven tiny guardian design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
285,B03,3,S29,29,R1C5,5,g30_pet_shonen_025,g30_pet_shonen_025.png,Sootsnap,The Beast Underworld Kitchen Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cooking,Cooking,A heroic pet design that overtly sells Monster Taming x Crime.,"steam, hanging pans, chopping blocks, spice stalls",cooking+crime | cooking+monster_taming | crime+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Fearless mini beast design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
286,B03,3,S29,29,R2C1,6,g30_pet_shonen_026,g30_pet_shonen_026.png,Talonsnap,The Titan Abyss Kitchen Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cooking,Cooking,A hot-blooded pet design that overtly sells Kaiju x Cosmic Horror.,"steam, hanging pans, chopping blocks, spice stalls",cooking+cosmic_horror | cooking+kaiju | cosmic_horror+kaiju,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Scrappy non-human companion design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
287,B03,3,S29,29,R2C2,7,g30_pet_shonen_027,g30_pet_shonen_027.png,Tikasnap,The Beast Underworld Command Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,military,Military,A resolute pet design that overtly sells Monster Taming x Crime.,"sandbags, tactical screens, emblems, armored vehicles",crime+military | crime+monster_taming | military+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Heroic familiar design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
288,B03,3,S29,29,R2C3,8,g30_pet_shonen_028,g30_pet_shonen_028.png,Totosnap,The Titan Abyss Command Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,military,Military,A kinetic pet design that overtly sells Kaiju x Cosmic Horror.,"sandbags, tactical screens, emblems, armored vehicles",cosmic_horror+kaiju | cosmic_horror+military | kaiju+military,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Hot-blooded mascot creature design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
289,B03,3,S29,29,R2C4,9,g30_pet_shonen_029,g30_pet_shonen_029.png,Vantasnap,The Beast Underworld Spirit Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,supernatural,Supernatural,A battle-ready pet design that overtly sells Monster Taming x Crime.,"spirit wisps, shrine gates, sigils, moonlit talismans",crime+monster_taming | crime+supernatural | monster_taming+supernatural,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Resolute tiny guardian design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
290,B03,3,S29,29,R2C5,10,g30_pet_shonen_030,g30_pet_shonen_030.png,Whispsnap,The Titan Abyss Spirit Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,supernatural,Supernatural,A driven pet design that overtly sells Kaiju x Cosmic Horror.,"spirit wisps, shrine gates, sigils, moonlit talismans",cosmic_horror+kaiju | cosmic_horror+supernatural | kaiju+supernatural,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Kinetic mini beast design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
291,B03,3,S30,30,R1C1,1,g30_pet_shonen_031,g30_pet_shonen_031.png,Azuspark,The Beast Underworld Void Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,space,Space,A fearless pet design that overtly sells Monster Taming x Crime.,"starfields, cockpit glass, planets, docking ports",crime+monster_taming | crime+space | monster_taming+space,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Battle-ready non-human companion design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
292,B03,3,S30,30,R1C2,2,g30_pet_shonen_032,g30_pet_shonen_032.png,Bramspark,The Titan Abyss Void Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,space,Space,A scrappy pet design that overtly sells Kaiju x Cosmic Horror.,"starfields, cockpit glass, planets, docking ports",cosmic_horror+kaiju | cosmic_horror+space | kaiju+space,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Driven familiar design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
293,B03,3,S30,30,R1C3,3,g30_pet_shonen_033,g30_pet_shonen_033.png,Chaispark,The Beast Underworld Charm Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,magical,Magical,A heroic pet design that overtly sells Monster Taming x Crime.,"sparkles, transformation glyphs, ribbon trails, pastel magic",crime+magical | crime+monster_taming | magical+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Fearless mascot creature design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
294,B03,3,S30,30,R1C4,4,g30_pet_shonen_034,g30_pet_shonen_034.png,Cinderspark,The Titan Abyss Charm Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,magical,Magical,A hot-blooded pet design that overtly sells Kaiju x Cosmic Horror.,"sparkles, transformation glyphs, ribbon trails, pastel magic",cosmic_horror+kaiju | cosmic_horror+magical | kaiju+magical,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Scrappy tiny guardian design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
295,B03,3,S30,30,R1C5,5,g30_pet_shonen_035,g30_pet_shonen_035.png,Clinkspark,The Beast Underworld Wild Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,survival,Survival,A resolute pet design that overtly sells Monster Taming x Crime.,"camp gear, rough maps, ropes, storm clouds, scavenged supplies",crime+monster_taming | crime+survival | monster_taming+survival,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Heroic mini beast design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: camp gear, rough maps, ropes, storm clouds, scavenged supplies. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
296,B03,3,S30,30,R2C1,6,g30_pet_shonen_036,g30_pet_shonen_036.png,Djinnispark,The Titan Abyss Wild Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,survival,Survival,A kinetic pet design that overtly sells Kaiju x Cosmic Horror.,"camp gear, rough maps, ropes, storm clouds, scavenged supplies",cosmic_horror+kaiju | cosmic_horror+survival | kaiju+survival,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Hot-blooded non-human companion design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: camp gear, rough maps, ropes, storm clouds, scavenged supplies. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
297,B03,3,S30,30,R2C2,7,g30_pet_shonen_037,g30_pet_shonen_037.png,Emberspark,The Beast Underworld Corsair Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,pirate,Pirate,A battle-ready pet design that overtly sells Monster Taming x Crime.,"rigging, maps, cannon smoke, treasure, ocean spray",crime+monster_taming | crime+pirate | monster_taming+pirate,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Resolute familiar design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: rigging, maps, cannon smoke, treasure, ocean spray. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
298,B03,3,S30,30,R2C3,8,g30_pet_shonen_038,g30_pet_shonen_038.png,Fangspark,The Titan Abyss Corsair Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,pirate,Pirate,A driven pet design that overtly sells Kaiju x Cosmic Horror.,"rigging, maps, cannon smoke, treasure, ocean spray",cosmic_horror+kaiju | cosmic_horror+pirate | kaiju+pirate,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Kinetic mascot creature design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: rigging, maps, cannon smoke, treasure, ocean spray. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
299,B03,3,S30,30,R2C4,9,g30_pet_shonen_039,g30_pet_shonen_039.png,Glimspark,The Beast Underworld Fist Familiar,pet,Pet,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,martial,Martial Arts,A fearless pet design that overtly sells Monster Taming x Crime.,"dojo banners, shattered tiles, temple gates, training gear",crime+martial | crime+monster_taming | martial+monster_taming,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Battle-ready tiny guardian design blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: dojo banners, shattered tiles, temple gates, training gear. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
300,B03,3,S30,30,R2C5,10,g30_pet_shonen_040,g30_pet_shonen_040.png,Kikispark,The Titan Abyss Fist Familiar,pet,Pet,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,martial,Martial Arts,A scrappy pet design that overtly sells Kaiju x Cosmic Horror.,"dojo banners, shattered tiles, temple gates, training gear",cosmic_horror+kaiju | cosmic_horror+martial | kaiju+martial,"A marketable mascot, partner creature or compact companion design with strong silhouette readability. Driven mini beast design blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: dojo banners, shattered tiles, temple gates, training gear. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
